 scal   -EI      E1      E2      E3     -EO     -E1I    -E2I    -E3I     EOI    -E12    -E13    -EO1    -E23    -EO2    -EO3     E12I    E13I    EO1I    E23I    EO2I    EO3I   -E123    EO12    EO13    EO23    E123I  -EO12I  -EO13I  -EO23I   EO123  -EO123I ;
 EO2I   0       EO12I  0      -EO23I  0      0      0      0      0      0       EO123I 0      0      0      0      0      0      0      0       scal   0      0      0      0      0      0      -E1     0       E3     0       E13    ;
 EO3I   0       EO13I   EO23I  0      0      0      0      0      0      -EO123I 0      0      0      0      0      0      0      0      0      0       scal   0      0      0      0      0      0      -E1     -E2     0      -E12    ;
 E123   -E123I  0      0      0       EO123  0      0      0      -EO123I 0      0      0      0      0      0      0      0      0      0      0      0       scal   0      0      0      -EI     0      0      0       EO     -EOI    ;
 E12I   0      0      0      -E123I   EO12I  0      0      0      0      0      0      0      0      0      -EO123I 0      0      0      0      0      0      0       scal   0      0      0      -EI     0      0       E3     -E3I    ;
 E13I   0      0       E123I  0       EO13I  0      0      0      0      0      0      0      0       EO123I 0      0      0      0      0      0      0      0      0       scal   0      0      0      -EI     0      -E2      E2I    ;
 E23I   0      -E123I  0      0       EO23I  0      0      0      0      0      0      -EO123I 0      0      0      0      0      0      0      0      0      0      0      0       scal   0      0      0      -EI      E1     -E1I    ;
 EO123  -EO123I 0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0       scal   0      0      0      0      -EO     ;
 EO12I  0      0      0      -EO123I 0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0       scal   0      0      0      -E3     ;
 EO13I  0      0       EO123I 0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0       scal   0      0       E2     ;
 EO23I  0      -EO123I 0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0       scal   0      -E1     ;
 E123I  0      0      0      0      -EO123I 0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0       scal   -EI     ;
 EO123I 0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0       scal   ;
